Form ID	Name	Editor Name	Value	Weight
000D2AFE	Aegisbane	DBAlainAegisbane	60	24
0200575E	Aetherial Staff	DLC1LD_AetherialStaff	1250	8
02014F0D	Aetherium Crest	DLC1LD_AetheriumCrestNP	1000	0
02014555	Akaviri Sword	DLC1AkaviriSword	300	10
00043E1E	Alessandra's Dagger	FFRiften13ArkayDagger	10	1
0007E646	Alteration Staff	StaffTemplateAlteration	5	8
000647AC	Amren's Family Sword	FavorAmrenIronSword	25	9
00034182	Ancient Nord Arrow	DraugrArrow	1	0
0001CB64	Ancient Nord Battle Axe	DraugrBattleAxe	28	22
0005BF07	Ancient Nord Battle Axe of Cold	EnchDraugrBattleAxeFrost01	28	22
0005BF06	Ancient Nord Battle Axe of Frost	EnchDraugrBattleAxeFrost02	28	22
0005BF08	Ancient Nord Battle Axe of Ice	EnchDraugrBattleAxeFrost03	28	22
000302CA	Ancient Nord Bow	DraugrBow	45	12
000236A5	Ancient Nord Greatsword	DraugrGreatsword	35	18
0005BF09	Ancient Nord Greatsword of Cold	EnchDraugrGreatswordFrost01	35	18
0005BF0A	Ancient Nord Greatsword of Frost	EnchDraugrGreatswordFrost02	35	18
0005BF0B	Ancient Nord Greatsword of Ice	EnchDraugrGreatswordFrost03	35	18
0002C66F	Ancient Nord Sword	DraugrSword	13	12
0005BF0C	Ancient Nord Sword of Cold	EnchDraugrSwordFrost01	13	12
0005BF0D	Ancient Nord Sword of Frost	EnchDraugrSwordFrost02	13	12
0005BF0E	Ancient Nord Sword of Ice	EnchDraugrSwordFrost03	13	12
0002C672	Ancient Nord War Axe	DraugrWarAxe	15	14
0005BF0F	Ancient Nord War Axe of Cold	EnchDraugrWarAxeFrost01	15	14
000DDD6D	Ancient Nord War Axe of Cold	EnchDraugrWarAxeHonedFrost01	27	16
0005BF10	Ancient Nord War Axe of Frost	EnchDraugrWarAxeFrost02	15	14
0005BF11	Ancient Nord War Axe of Ice	EnchDraugrWarAxeFrost03	15	14
040398E6	Ancient Nordic Pickaxe	DLC2AncientNordPickaxe	500	10
040206F2	Ancient Nordic Pickaxe	DLC2RR03NordPickaxe	500	10
000CC392	Angi's Bow	dunAngisBow	50	7
040317D3	Ash Spawn Battle Axe	DLC2AshSpawnBattleAxe	15	14
04030CB2	Ash Spawn War Axe	DLC2AshSpawnWarAxe	15	14
02000800	Auriel's Bow	DLC1AurielsBow	1000	11
000946FC	Balgruuf's Greatsword	FFSteelGreatswordBalgruuf	200	17
00079B1D	Blade of Sacrifice	DA02Dagger	144	4
0009CCDC	Blade of Woe	DBBladeOfWoeReward	500	7
000964C9	Blade of Woe	DBBladeOfWoeAstrid	500	7
0003AEB9	Blades Sword	AkaviriKatana	300	10
0200D0BD	Blessed Crossbow	DLC1EnchCrossBowTurn01	120	14
000A7358	Blessed Hunting Bow	EnchHuntingBowTurn01	50	7
000ABB22	Blessed Imperial Bow	EnchImperialBowTurn01	32	8
000C3DE6	Blessed Imperial Sword	EnchImperialSwordTurn1	50	10
000896F0	Blessed Iron Battleaxe	EnchIronBattleaxeTurn01	55	20
000896F3	Blessed Iron Dagger	EnchIronDaggerTurn01	10	2
000896F6	Blessed Iron Greatsword	EnchIronGreatswordTurn01	50	16
0005BEF4	Blessed Iron Mace	EnchIronMaceTurn01	35	13
0005BEF7	Blessed Iron Sword	EnchIronSwordTurn01	25	9
0005BEFA	Blessed Iron War Axe	EnchIronWarAxeTurn01	30	11
000896F9	Blessed Iron Warhammer	EnchIronWarhammerTurn01	60	24
000A6987	Blessed Steel Battleaxe	EnchSteelBattleaxeTurn1	100	21
000A6A15	Blessed Steel Dagger	EnchSteelDaggerTurn01	18	2.5
000A699F	Blessed Steel Greatsword	EnchSteelGreatswordTurn01	90	17
000A69C3	Blessed Steel Mace	EnchSteelMaceTurn1	65	14
000A69D3	Blessed Steel Sword	EnchSteelSwordTurn01	45	10
000A69E2	Blessed Steel War Axe	EnchSteelWarAxeTurn1	55	12
000A69B5	Blessed Steel Warhammer	EnchSteelWarhammerTurn1	110	25
020098A0	Bloodcursed Elven Arrow	DLC1ElvenArrowBlood	6	0
04018DDD	Bloodscythe	DLC2dunHaknirScimitar01	1000	10
04037FF2	Bloodscythe	DLC2dunHaknirScimitar01NP	1000	10
0401AEA4	Bloodskal Blade	DLC2BloodskalBlade	500	16
000A4DCE	Bloodthorn	dunHagsEndDagger	9	2.5
000C1989	Bolar's Oathblade	dunBloatedMansKatana	25	10
000ECD54	Borvir's Dagger	POIMageBorvirsDagger	18	4
000AB705	Bow of the Hunt	dunClearspringTarnBowOfHunt	55	7
000AE087	Briarheart Geis	dunLostValleyRedoubtAxe	300	12
0001CB30	Broken Staff	DA14BrokenRose	5	10
0008ADFB	Ceremonial Axe	dunVolunruudRelic01	5	14
0008ADFC	Ceremonial Sword	dunVolunruudRelic02	5	12
0401A578	Champion's Cudgel	DLC2RR01FalxWarhammer	1100	27
000F8313	Chillrend	TG07Chillrend001	200	11
000F8314	Chillrend	TG07Chillrend002	200	12
000F8315	Chillrend	TG07Chillrend003	350	13
000F8316	Chillrend	TG07Chillrend004	205	14
000F8317	Chillrend	TG07Chillrend005	350	15
000F8318	Chillrend	TG07Chillrend006	500	16
0007E647	Conjuration Staff	StaffTemplateConjuration	5	8
02000801	Crossbow	DLC1CrossBow	120	14
0200D0C4	Crossbow of Arcing	DLC1EnchCrossbowShock02	120	14
0200D0C2	Crossbow of Binding	DLC1EnchCrossbowSoulTrap03	120	14
0200D0CB	Crossbow of Burning	DLC1EnchCrossbowFire2	120	14
0200D0C9	Crossbow of Diminishing	DLC1EnchCrossbowMagicka03	120	14
0200D0C7	Crossbow of Draining	DLC1EnchCrossbowMagicka02	120	14
0200D0CA	Crossbow of Embers	DLC1EnchCrossbowFire1	120	14
0200D0C6	Crossbow of Sapping	DLC1EnchCrossbowMagicka01	120	14
0200D0CC	Crossbow of Scorching	DLC1EnchCrossbowFire3	120	14
0200D0C5	Crossbow of Shocks	DLC1EnchCrossbowShock03	120	14
0200D0C1	Crossbow of Soul Snares	DLC1EnchCrossbowSoulTrap02	120	14
0200D0C0	Crossbow of Souls	DLC1EnchCrossbowSoulTrap01	120	14
0200D0C3	Crossbow of Sparks	DLC1EnchCrossbowShock01	120	14
000139C0	Daedric Arrow	DaedricArrow	8	0
000139B4	Daedric Battleaxe	DaedricBattleaxe	2750	27
0001DFCC	Daedric Battleaxe of Animus	EnchDaedricBattleaxeSoulTrap04	2750	27
0001DD9C	Daedric Battleaxe of Annihilating	EnchDaedricBattleaxeBanish06	2750	27
0001DD96	Daedric Battleaxe of Banishing	EnchDaedricBattleaxeBanish04	2750	27
0001DE68	Daedric Battleaxe of Blizzards	EnchDaedricBattleaxeFrost05	2750	27
0001DFCE	Daedric Battleaxe of Damnation	EnchDaedricBattleaxeSoulTrap06	2750	27
0001DFCF	Daedric Battleaxe of Debilitation	EnchDaedricBattleaxeStamina04	2750	27
0001DF09	Daedric Battleaxe of Depleting	EnchDaedricBattleaxeMagicka04	2750	27
0001DD9F	Daedric Battleaxe of Despair	EnchDaedricBattleaxeFear04	2750	27
0001DD38	Daedric Battleaxe of Devouring	EnchDaedricBattleaxeAbsorbH04	2750	27
0001DDA0	Daedric Battleaxe of Dread	EnchDaedricBattleaxeFear05	2750	27
0001DFA9	Daedric Battleaxe of Enervating	EnchDaedricBattleaxeMagicka05	2750	27
0001DD47	Daedric Battleaxe of Evoking	EnchDaedricBattleaxeAbsorbM05	2750	27
0001DFD1	Daedric Battleaxe of Exhaustion	EnchDaedricBattleaxeStamina06	2750	27
0001DD97	Daedric Battleaxe of Expelling	EnchDaedricBattleaxeBanish05	2750	27
0001DDA2	Daedric Battleaxe of Fire	EnchDaedricBattleaxeFire04	2750	27
0001DE10	Daedric Battleaxe of Freezing	EnchDaedricBattleaxeFrost04	2750	27
0001DD54	Daedric Battleaxe of Garnering	EnchDaedricBattleaxeAbsorbS05	2750	27
0001DD4E	Daedric Battleaxe of Harvesting	EnchDaedricBattleaxeAbsorbS04	2750	27
0001DFC7	Daedric Battleaxe of Immobilizing	EnchDaedricBattleaxeParalyze05	2750	27
0001DD39	Daedric Battleaxe of Leeching	EnchDaedricBattleaxeAbsorbH05	2750	27
0001DFD0	Daedric Battleaxe of Lethargy	EnchDaedricBattleaxeStamina05	2750	27
0001DFCA	Daedric Battleaxe of Lightning	EnchDaedricBattleaxeShock05	2750	27
0001DFCD	Daedric Battleaxe of Malediction	EnchDaedricBattleaxeSoulTrap05	2750	27
0001DFB9	Daedric Battleaxe of Nullifying	EnchDaedricBattleaxeMagicka06	2750	27
0001DFC8	Daedric Battleaxe of Petrifying	EnchDaedricBattleaxeParalyze06	2750	27
0001DFCB	Daedric Battleaxe of Storms	EnchDaedricBattleaxeShock06	2750	27
0001DFC6	Daedric Battleaxe of Stunning	EnchDaedricBattleaxeParalyze04	2750	27
0001DD95	Daedric Battleaxe of Subsuming	EnchDaedricBattleaxeAbsorbS06	2750	27
0001DDA1	Daedric Battleaxe of Terror	EnchDaedricBattleaxeFear06	2750	27
0001DDC8	Daedric Battleaxe of the Blaze	EnchDaedricBattleaxeFire05	2750	27
0001DDFB	Daedric Battleaxe of the Inferno	EnchDaedricBattleaxeFire06	2750	27
